Date,OULU phi potential
1996.498,486.923248284992
1996.583,494.638895671631
1996.668,496.360608873792
1996.750,506.667053540653
1996.834,509.186208341534
1996.916,505.182172386611
1997.001,489.934333306436
1997.086,483.590282122931
1997.163,481.254862301925
1997.248,486.580870919533
1997.330,481.374351475173
1997.415,484.311154983252
1997.497,485.213756302435
1997.582,474.4344084948
1997.667,476.085956889407
1997.749,488.113357010756
1997.834,504.952494105197
1997.916,494.8844967168
1998.001,492.189448254671
1998.086,488.598294386133
1998.163,486.460089027324
1998.248,540.613714735332
1998.330,582.639987561471
1998.415,571.751363383348
1998.497,543.467978324453
1998.582,574.914813484332
1998.667,544.250804794367
1998.749,524.573365475699
1998.834,542.217567413556
1998.916,560.281256092452
1999.001,594.865290523252
1999.086,595.324907447516
1999.163,589.181299076531
1999.248,569.534285006852
1999.330,578.116967206077
1999.415,558.767249547324
1999.497,541.949960314093
1999.582,597.409020215918
1999.667,648.746939138277
1999.749,673.8662605588
1999.834,684.471267488148
1999.916,725.569725354291
2000.001,696.356696215699
2000.086,720.515645464893
2000.165,759.346566972973
2000.250,749.496831418196
2000.332,809.647175553811
2000.416,866.681354311247
2000.498,922.342572612557
2000.583,875.366627229997
2000.668,841.804778089597
2000.750,782.797232160637
2000.834,854.163958456116
2000.916,828.760576562878
2001.001,790.669318934325
2001.086,721.445406953472
2001.163,691.430775377299
2001.248,832.008182667372
2001.330,757.094365454867
2001.415,735.929189378292
2001.497,721.586358629556
2001.582,770.770076634453
2001.667,770.799679845199
2001.749,814.010922293092
2001.834,771.984487781199
2001.916,746.398448332628
2002.001,832.539893640512
2002.086,744.838380575311
2002.163,776.558376947508
2002.248,774.9523082832
2002.330,769.852788119631
2002.415,745.560333775235
2002.497,794.868825890047
2002.582,859.430785001811
2002.667,809.340499231573
2002.749,786.455783545323
2002.834,836.111672521172
2002.916,821.672188069173
2003.001,794.354357799036
2003.086,795.353249919999
2003.163,776.915609246867
2003.248,788.410047959699
2003.330,813.426072390911
2003.415,875.5934385408
2003.497,824.837984229693
2003.582,799.6010092148
2003.667,774.387784729332
2003.749,818.731406671567
2003.834,999.425303478693
2003.916,799.084343501556
2004.001,822.261241793971
2004.086,738.909202658068
2004.165,683.199445852876
2004.250,655.211319519924
2004.332,629.355494085211
2004.416,630.471116483125
2004.498,667.788112044351
2004.583,651.607915055196
2004.668,634.694499178172
2004.750,576.302100798799
2004.834,642.3592832308
2004.916,622.695449942637
2005.001,721.699134886413
2005.086,642.848846486972
2005.163,623.876913837266
2005.248,601.546809786077
2005.330,661.199345634876
2005.415,612.218954754596
2005.497,629.228820324308
2005.582,651.529755438387
2005.667,728.1776831573
2005.749,601.546809786077
2005.834,572.172284144848
2005.916,572.921250653647
2006.001,563.181655767997
2006.086,535.144255559827
2006.163,508.555300942213
2006.248,505.391057834192
2006.330,495.868094176512
2006.415,497.018037621567
2006.497,503.077074453317
2006.582,501.457140174653
2006.667,503.056274161487
2006.749,485.294068740077
2006.834,491.395947123092
2006.916,520.347814107507
2007.001,474.886036865078
2007.086,483.830453748468
2007.163,471.382759818047
2007.248,451.684267380732
2007.330,451.628347502031
2007.415,450.399997043091
2007.497,453.384047905812
2007.582,455.767740301611
2007.667,451.2929848477
2007.749,449.917092492286
2007.834,452.729474072717
2007.916,445.394155403093
2008.001,453.215631966236
2008.086,458.278375721332
2008.165,457.956650369924
2008.250,455.071899008592
2008.332,457.843157423852
2008.416,456.408162230196
2008.498,451.404742567167
2008.583,450.084188366924
2008.668,442.959676874772
2008.750,437.072436644796
2008.834,429.452927023125
2008.916,429.929111039231
2009.001,425.403601636788
2009.086,425.822252361491
2009.163,413.504076999999
2009.248,402.688311831632
2009.330,400.703627648307
2009.415,403.99643970427
2009.497,406.463473953971
2009.582,406.843401169933
2009.667,402.720950392501
2009.749,397.460678858124
2009.834,398.570156190386
2009.916,396.019463616925
2010.001,404.931716339924
2010.086,431.503032221772
2010.163,450.214198230272
2010.248,467.654568597311
2010.330,458.278375721332
2010.415,464.571077814591
2010.497,467.847991137332
2010.582,474.925329613923
2010.667,474.944977231347
2010.749,466.49577355579
2010.834,475.908725600924
2010.916,489.650629476797
2011.001,481.533716778132
2011.086,491.070772810357
2011.163,498.335440779072
2011.248,542.619201802572
2011.330,515.578885511932
2011.415,577.763036472372
2011.497,556.594334925299
2011.582,550.663036076133
2011.667,553.428494336653
2011.749,566.744454743732
2011.834,537.485280236799
2011.916,505.997294242796
2012.001,538.881055363356
2012.086,566.419751835077
2012.165,631.080313982533
2012.250,548.675936171892
2012.332,541.2591942797
2012.416,574.468673983891
2012.498,650.3842712325
2012.583,636.738018405853
2012.668,598.186068558124
2012.750,600.7417186112
2012.834,590.477801325887
2012.916,573.06177634197
2013.001,565.562390279999
2013.086,564.382481176532
2013.163,585.902866702925
2013.248,582.663747848253
2013.330,656.442168593492
2013.415,659.698300602388
2013.497,650.748569459967
2013.582,634.592462432676
2013.667,618.2625346653
2013.749,590.597970058693
2013.834,602.964005367252
2013.916,625.413032773125
2014.001,613.508115958732
2014.086,661.9113066733
2014.163,643.235555104307
2014.248,630.623371110012
2014.330,609.721409719028
2014.415,645.482141875893
2014.497,627.685068545924
2014.582,602.670563776572
2014.667,631.334287147171
2014.749,630.217425064925
2014.834,638.222886167252
2014.916,693.726197253908
2015.001,670.528607756925
2015.086,664.685786700325
2015.163,701.392239461597
2015.248,676.626216663716
2015.330,644.784254072149
2015.415,651.868500974516
2015.497,620.688657192076
2015.582,616.915288224768
2015.667,616.267475825299
2015.749,610.338826703052
2015.834,600.059318628432
2015.916,584.495778414387
2016.001,545.640017768307
2016.086,525.721457012556
2016.165,529.725352468316
2016.250,525.266274386931
2016.332,523.168506619325
2016.416,511.992213470291
2016.498,522.542852909007
2016.583,506.4785979712
2016.668,504.848128033012
2016.750,486.782240366491
2016.834,473.238734555052
2016.916,474.316664492148
2017.001,461.794988169676
2017.086,456.464716038388
2017.163,450.604471448117
2017.248,462.635546490213
2017.330,457.540655412877
2017.415,452.169218736558
2017.497,472.358656377748
2017.582,495.4990213893
2017.667,510.091809538511
2017.749,485.796321866751
2017.834,462.578184732672
2017.916,458.070173147973
2018.001,457.219479467027
2018.086,450.864856616516
2018.163,448.305292880013
2018.248,443.653746426448
2018.330,446.736603680846
2018.415,434.509779765299
2018.497,436.210354767325
2018.582,436.174476122396
2018.667,433.190302991167
2018.749,430.052664765773
2018.834,433.813814279251
2018.916,437.306245719347
2019.001,436.856737183572
2019.086,439.941719805952
2019.163,426.853464381757
2019.248,427.308812473396
2019.330,444.532176226767
2019.415,431.042556344925
2019.497,431.024856921266
2019.582,432.763339089151
2019.667,425.229304708047
2019.749,421.364011525494
2019.834,425.055090645907
2019.916,424.028914428925
2020.001,418.496360435187
2020.086,409.831884327013
2020.165,412.460427692052
2020.250,404.324300338431
2020.332,410.533060304558
2020.416,417.147859072925
2020.498,419.283946174798
2020.583,420.279488320532
2020.668,421.122722136397
2020.750,423.144205157968
2020.834,423.022942692916
2020.916,434.599097262924
2021.001,437.5581967252
2021.086,461.089396792499
2021.163,434.134872501091
2021.248,425.944448733124
2021.330,427.782266863699
