Date,Solar wind speed
2008.560,429.000
2008.634,400.000
2008.708,405.000
2008.781,401.000
2008.855,385.000
2008.929,385.000
2009.003,370.000
2009.077,371.000
2009.151,403.000
2009.225,400.000
2009.299,380.000
2009.373,331.000
2009.447,352.000
2009.521,391.000
2009.595,385.000
2009.668,360.000
2009.742,334.000
2009.816,335.000
2009.890,331.000
2009.964,338.000
2010.038,383.000
2010.112,362.000
2010.186,401.000
2010.260,422.000
2010.334,421.000
2010.408,429.000
2010.482,412.000
2010.556,451.000
2010.630,414.000
2010.704,389.000
2010.778,405.000
2010.852,412.000
2010.926,380.000
2011.000,432.000
2011.074,398.000
2011.148,422.000
2011.222,428.000
2011.296,423.000
2011.370,460.000
2011.444,439.000
2011.518,486.000
2011.592,442.000
2011.666,419.000
2011.740,405.000
2011.814,372.000
2011.888,383.000
2011.962,365.000
2012.036,421.000
2012.109,410.000
2012.183,471.000
2012.257,405.000
2012.331,409.000
2012.404,430.000
2012.478,462.000
2012.552,402.000
2012.626,423.000
2012.699,370.000
2012.773,388.000
2012.847,377.000
2012.921,346.000
2012.995,360.000
2013.068,374.000
2013.142,390.000
2013.216,399.000
2013.290,396.000
2013.364,484.000
2013.438,412.000
2013.512,400.000
2013.586,446.000
2013.660,411.000
2013.734,378.000
2013.808,371.000
2013.882,364.000
2013.956,380.000
2014.030,404.000
2014.104,418.000
2014.178,382.000
2014.252,408.000
2014.326,356.000
2014.400,383.000
2014.474,341.000
2014.548,365.000
2014.622,352.000
2014.696,421.000
2014.770,410.000
2014.844,434.000
2014.918,468.000
2014.992,434.000
2015.066,416.000
2015.140,434.000
2015.214,453.000
2015.288,413.000
2015.362,384.000
2015.436,478.000
2015.510,431.000
2015.584,459.000
2015.658,462.000
2015.732,447.000
2015.805,452.000
2015.879,425.000
2015.953,461.000
2016.027,400.000
2016.101,409.000
2016.175,444.000
2016.249,410.000
2016.322,458.000
2016.396,457.000
2016.470,467.000
2016.544,467.000
2016.617,445.000
2016.691,444.000
2016.765,482.000
2016.839,440.000
2016.913,463.000
2016.986,490.000
2017.060,470.000
2017.134,490.000
2017.208,487.000
2017.282,435.000
2017.356,424.000
2017.430,404.000
2017.504,464.000
2017.578,481.000
2017.652,506.000
2017.726,448.000
2017.800,424.000
2017.874,417.000
2017.948,407.000
2018.022,400.000
2018.096,400.000
2018.170,409.000
2018.244,401.000
2018.318,419.000
2018.392,400.000
2018.466,417.000
2018.540,391.000
2018.614,437.000
2018.688,444.000
2018.762,402.000
2018.836,406.000
2018.910,428.000
2018.984,414.000
2019.058,430.000
2019.132,393.000
2019.205,389.000
2019.279,373.000
2019.353,382.000
2019.427,348.000
2019.501,391.000
2019.575,433.000
2019.649,465.000
2019.723,411.000
2019.797,393.000
2019.871,379.000
2019.945,374.000
2020.019,368.000
2020.093,399.000
2020.167,394.000
2020.240,389.000
2020.314,333.000
2020.388,346.000
2020.462,313.000
