date,Tilt L model - Avg  
2008-02-21,35.1
2008-03-19,35.7
2008-04-16,35.6
2008-05-13,34.6
2008-06-09,34.2
2008-07-06,30.0
2008-08-03,30.0
2008-08-30,31.9
2008-09-26,26.1
2008-10-24,24.4
2008-11-20,27.6
2008-12-17,22.1
2009-01-13,21.7
2009-02-10,24.1
2009-03-09,23.1
2009-04-05,20.2
2009-05-03,16.4
2009-05-30,21.2
2009-06-26,21.3
2009-07-23,20.5
2009-08-20,12.8
2009-09-16,12.0
2009-10-13,10.1
2009-11-09,23.1
2009-12-07,33.5
2010-01-03,47.0
2010-01-30,43.8
2010-02-27,42.1
2010-03-26,41.5
2010-04-22,36.3
2010-05-19,37.2
2010-06-16,27.9
2010-07-13,45.6
2010-08-09,41.2
2010-09-05,49.6
2010-10-03,43.5
2010-10-30,40.4
2010-11-26,48.8
2010-12-24,48.2
2011-01-20,53.6
2011-02-16,56.1
2011-03-15,65.2
2011-04-12,69.9
2011-05-09,63.7
2011-06-05,63.5
2011-07-03,64.5
2011-07-30,67.1
2011-08-26,66.7
2011-09-22,71.1
2011-10-20,69.6
2011-11-16,66.9
2011-12-13,68.8
2012-01-09,67.1
2012-02-06,70.0
2012-03-04,60.4
2012-03-31,58.0
2012-04-28,68.0
2012-05-25,74.3
2012-06-21,74.6
2012-07-18,73.9
2012-08-15,73.1
2012-09-11,71.6
2012-10-08,73.4
2012-11-04,71.5
2012-12-02,61.9
2012-12-29,73.1
2013-01-25,71.5
2013-02-22,64.8
2013-03-21,73.6
2013-04-17,70.1
2013-05-14,68.9
2013-06-11,71.7
2013-07-08,73.0
2013-08-04,68.3
2013-08-31,68.3
2013-09-28,70.4
2013-10-25,67.2
2013-11-21,66.9
2013-12-19,66.5
2014-01-15,64.4
2014-02-11,68.7
2014-03-10,60.5
2014-04-07,62.7
2014-05-04,56.7
2014-05-31,48.8
2014-06-28,48.1
2014-07-25,58.8
2014-08-21,60.0
2014-09-17,69.1
2014-10-15,72.5
2014-11-11,52.5
2014-12-08,53.8
2015-01-04,55.2
2015-02-01,50.6
2015-02-28,49.2
2015-03-27,44.6
2015-04-24,43.3
2015-05-21,51.4
2015-06-17,52.7
2015-07-14,47.4
2015-08-11,49.8
2015-09-07,48.7
2015-10-04,50.4
2015-10-31,51.4
2015-11-28,50.6
2015-12-25,50.3
2016-01-21,51.2
2016-02-18,47.5
2016-03-16,47.9
2016-04-12,43.5
2016-05-09,42.6
2016-06-06,42.5
2016-07-03,39.4
2016-07-30,40.5
2016-08-27,39.1
2016-09-23,41.8
2016-10-20,43.4
2016-11-16,41.7
2016-12-14,39.2
2017-01-10,40.6
2017-02-06,35.3
2017-03-05,31.0
2017-04-02,28.9
2017-04-29,31.4
2017-05-26,31.2
2017-06-23,32.0
2017-07-20,27.3
2017-08-16,20.4
2017-09-12,28.5
2017-10-10,30.6
2017-11-06,29.2
2017-12-03,29.1
2017-12-30,25.6
2018-01-27,26.7
2018-02-23,24.1
2018-03-22,20.0
2018-04-19,18.7
2018-05-16,16.5
2018-06-12,17.7
2018-07-09,25.3
2018-08-06,23.1
2018-09-02,23.8
2018-09-29,26.3
2018-10-26,25.4
2018-11-23,21.1
2018-12-20,22.5
2019-01-16,21.2
2019-02-13,16.1
2019-03-12,19.3
2019-04-08,20.7
2019-05-05,25.1
2019-06-02,20.9
2019-06-29,19.8
2019-07-26,18.6
2019-08-23,17.5
2019-09-19,16.8
2019-10-16,15.3
2019-11-12,14.6
2019-12-10,13.6
2020-01-06,10.8
2020-02-02,9.1
2020-02-29,7.5
2020-03-28,8.8
2020-04-24,6.1
2020-05-21,14.5
2020-06-18,9.1
2020-07-15,15.0
2020-08-11,14.0
2020-09-07,14.5
2020-10-05,16.9
2020-11-01,21.7
2020-11-28,37.3
2020-12-25,23.1
2021-01-22,23.2
2021-02-18,21.7
2021-03-17,25.6
2021-04-14,24.1
2021-05-11,24.9
